Symptom,Disease,Relation
fatigue,Bronchial Asthma,has_symptom
fatigue,COVID-19,has_symptom
fatigue,Chicken pox,has_symptom
fatigue,Common Cold,has_symptom
fatigue,Dengue,has_symptom
fatigue,Diabetes,has_symptom
fatigue,Hepatitis B,has_symptom
fatigue,Hepatitis C,has_symptom
fatigue,Hepatitis D,has_symptom
fatigue,Hepatitis E,has_symptom
fatigue,Hyperthyroidism,has_symptom
fatigue,Hypoglycemia,has_symptom
fatigue,Hypothyroidism,has_symptom
fatigue,Influenza (Flu),has_symptom
fatigue,Jaundice,has_symptom
fatigue,Pneumonia,has_symptom
fatigue,Tuberculosis,has_symptom
fatigue,Tuberculosis (TB),has_symptom
fatigue,Typhoid,has_symptom
fatigue,Varicose veins,has_symptom
fever,AIDS,has_symptom
fever,Bronchial Asthma,has_symptom
fever,COVID-19,has_symptom
fever,Chicken pox,has_symptom
fever,Chickenpox,has_symptom
fever,Common Cold,has_symptom
fever,Dengue,has_symptom
fever,Dengue Fever,has_symptom
fever,Gastroenteritis,has_symptom
fever,Hepatitis E,has_symptom
fever,Impetigo,has_symptom
fever,Influenza (Flu),has_symptom
fever,Jaundice,has_symptom
fever,Malaria,has_symptom
fever,Meningitis,has_symptom
fever,Pneumonia,has_symptom
fever,Tuberculosis,has_symptom
fever,Tuberculosis (TB),has_symptom
fever,Typhoid,has_symptom
fever,hepatitis A,has_symptom
vomiting,(vertigo) Paroymsal  Positional Vertigo,has_symptom
vomiting,Alcoholic hepatitis,has_symptom
vomiting,COVID-19,has_symptom
vomiting,Chronic cholestasis,has_symptom
vomiting,Dengue,has_symptom
vomiting,GERD,has_symptom
vomiting,Gastroenteritis,has_symptom
vomiting,Heart attack,has_symptom
vomiting,Hepatitis D,has_symptom
vomiting,Hepatitis E,has_symptom
vomiting,Hypoglycemia,has_symptom
vomiting,Jaundice,has_symptom
vomiting,Malaria,has_symptom
vomiting,Migraine,has_symptom
vomiting,Paralysis (brain hemorrhage),has_symptom
vomiting,Peptic ulcer diseae,has_symptom
vomiting,Tuberculosis,has_symptom
vomiting,Typhoid,has_symptom
vomiting,hepatitis A,has_symptom
nausea,(vertigo) Paroymsal  Positional Vertigo,has_symptom
nausea,COVID-19,has_symptom
nausea,Chronic cholestasis,has_symptom
nausea,Dengue,has_symptom
nausea,Gastroenteritis,has_symptom
nausea,Hepatitis C,has_symptom
nausea,Hepatitis D,has_symptom
nausea,Hepatitis E,has_symptom
nausea,Hypoglycemia,has_symptom
nausea,Malaria,has_symptom
nausea,Meningitis,has_symptom
nausea,Migraine,has_symptom
nausea,Pneumonia,has_symptom
nausea,Typhoid,has_symptom
nausea,hepatitis A,has_symptom
headache,(vertigo) Paroymsal  Positional Vertigo,has_symptom
headache,COVID-19,has_symptom
headache,Chicken pox,has_symptom
headache,Common Cold,has_symptom
headache,Dengue,has_symptom
headache,Dengue Fever,has_symptom
headache,Hypertension,has_symptom
headache,Hypoglycemia,has_symptom
headache,Malaria,has_symptom
headache,Meningitis,has_symptom
headache,Migraine,has_symptom
headache,Paralysis (brain hemorrhage),has_symptom
headache,Typhoid,has_symptom
loss of appetite,Chicken pox,has_symptom
loss of appetite,Chickenpox,has_symptom
loss of appetite,Chronic cholestasis,has_symptom
loss of appetite,Dengue,has_symptom
loss of appetite,Hepatitis B,has_symptom
loss of appetite,Hepatitis C,has_symptom
loss of appetite,Hepatitis D,has_symptom
loss of appetite,Hepatitis E,has_symptom
loss of appetite,Peptic ulcer diseae,has_symptom
loss of appetite,Tuberculosis,has_symptom
loss of appetite,hepatitis A,has_symptom
abdominal pain,Alcoholic hepatitis,has_symptom
abdominal pain,Chronic cholestasis,has_symptom
abdominal pain,Hepatitis B,has_symptom
abdominal pain,Hepatitis D,has_symptom
abdominal pain,Hepatitis E,has_symptom
abdominal pain,Jaundice,has_symptom
abdominal pain,Peptic ulcer diseae,has_symptom
abdominal pain,Typhoid,has_symptom
abdominal pain,hepatitis A,has_symptom
cough,Asthma,has_symptom
cough,Bronchial Asthma,has_symptom
cough,COVID-19,has_symptom
cough,Common Cold,has_symptom
cough,GERD,has_symptom
cough,Influenza (Flu),has_symptom
cough,Pneumonia,has_symptom
cough,Tuberculosis,has_symptom
chills,Allergy,has_symptom
chills,Common Cold,has_symptom
chills,Dengue,has_symptom
chills,Influenza (Flu),has_symptom
chills,Malaria,has_symptom
chills,Pneumonia,has_symptom
chills,Tuberculosis,has_symptom
chills,Typhoid,has_symptom
yellowish skin,Alcoholic hepatitis,has_symptom
yellowish skin,Chronic cholestasis,has_symptom
yellowish skin,Hepatitis B,has_symptom
yellowish skin,Hepatitis C,has_symptom
